"sample_1"	"sample_2"	"group_1"	"group_2"	"r2"
"sample_5_b"	"sample_3_c"	"sample_5"	"sample_3"	0.885052358056901
"sample_5_b"	"sample_2_b"	"sample_5"	"sample_2"	0.942393405840297
"sample_5_b"	"sample_3_d"	"sample_5"	"sample_3"	0.930326809920612
"sample_5_b"	"sample_2_d"	"sample_5"	"sample_2"	0.938026235622147
"sample_5_b"	"sample_4_c"	"sample_5"	"sample_4"	0.940182677391847
"sample_5_b"	"sample_1_b"	"sample_5"	"sample_1"	0.903732398470803
"sample_5_b"	"sample_5_a"	"sample_5"	"sample_5"	0.967623726449309
"sample_5_b"	"sample_5_b"	"sample_5"	"sample_5"	1
"sample_5_b"	"sample_2_a"	"sample_5"	"sample_2"	0.927722912868207
"sample_5_c"	"sample_1_a"	"sample_5"	"sample_1"	0.865431770629962
"sample_5_c"	"sample_2_c"	"sample_5"	"sample_2"	0.93157187183352
"sample_5_c"	"sample_2_e"	"sample_5"	"sample_2"	0.949134991458695
"sample_5_c"	"sample_4_a"	"sample_5"	"sample_4"	0.934912715085469
"sample_5_c"	"sample_4_e"	"sample_5"	"sample_4"	0.942496986212039
"sample_5_c"	"sample_4_d"	"sample_5"	"sample_4"	0.937623833526494
"sample_5_c"	"sample_4_b"	"sample_5"	"sample_4"	0.944665137135763
"sample_5_c"	"sample_3_d"	"sample_5"	"sample_3"	0.923440503814989
"sample_5_c"	"sample_2_d"	"sample_5"	"sample_2"	0.940272459717242
"sample_5_c"	"sample_1_c"	"sample_5"	"sample_1"	0.897362750565818
"sample_5_c"	"sample_2_b"	"sample_5"	"sample_2"	0.949060802139584
"sample_5_c"	"sample_2_a"	"sample_5"	"sample_2"	0.936796291035558
"sample_5_c"	"sample_5_c"	"sample_5"	"sample_5"	1
"sample_5_c"	"sample_3_c"	"sample_5"	"sample_3"	0.869405439042077
"sample_5_c"	"sample_3_a"	"sample_5"	"sample_3"	0.926895229205681
"sample_5_c"	"sample_5_b"	"sample_5"	"sample_5"	0.971415765918846
"sample_5_c"	"sample_5_a"	"sample_5"	"sample_5"	0.964714370162296
"sample_5_c"	"sample_3_b"	"sample_5"	"sample_3"	0.926608293671523
"sample_5_c"	"sample_1_b"	"sample_5"	"sample_1"	0.890065648688402
"sample_5_c"	"sample_4_c"	"sample_5"	"sample_4"	0.946131398451514
"sample_5_d"	"sample_1_a"	"sample_5"	"sample_1"	0.845923336120632
"sample_5_d"	"sample_4_a"	"sample_5"	"sample_4"	0.924838766281797
"sample_5_d"	"sample_1_c"	"sample_5"	"sample_1"	0.885071863363118
"sample_5_d"	"sample_3_c"	"sample_5"	"sample_3"	0.85477271426452
"sample_5_d"	"sample_2_b"	"sample_5"	"sample_2"	0.948300681020152
"sample_5_d"	"sample_4_b"	"sample_5"	"sample_4"	0.939369855082863
"sample_5_d"	"sample_2_c"	"sample_5"	"sample_2"	0.92517600340386
"sample_5_d"	"sample_3_a"	"sample_5"	"sample_3"	0.9201227529832
"sample_5_d"	"sample_2_d"	"sample_5"	"sample_2"	0.933214807235543
"sample_5_d"	"sample_2_e"	"sample_5"	"sample_2"	0.944503092258845
"sample_5_d"	"sample_4_e"	"sample_5"	"sample_4"	0.939721803589376
"sample_5_d"	"sample_3_b"	"sample_5"	"sample_3"	0.913965761312804
"sample_5_d"	"sample_4_c"	"sample_5"	"sample_4"	0.94298775092136
"sample_5_d"	"sample_2_a"	"sample_5"	"sample_2"	0.935102330906375
"sample_5_d"	"sample_5_a"	"sample_5"	"sample_5"	0.95638135033986
"sample_5_d"	"sample_3_d"	"sample_5"	"sample_3"	0.916204679549514
"sample_5_d"	"sample_1_b"	"sample_5"	"sample_1"	0.876515111896427
"sample_5_d"	"sample_5_b"	"sample_5"	"sample_5"	0.96304625617105
"sample_5_d"	"sample_4_d"	"sample_5"	"sample_4"	0.934498052248034
"sample_5_d"	"sample_5_c"	"sample_5"	"sample_5"	0.973659384418114
"sample_5_d"	"sample_5_d"	"sample_5"	"sample_5"	1
